City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Weather
301,Tateyama,JP,34.9833,139.8667,67.1,81,99,7.74,overcast clouds
302,Carnarvon,AU,-24.8667,113.6333,62.67,67,0,10.36,clear sky
303,Wamba,NG,8.9333,8.6,82.71,56,42,2.08,scattered clouds
304,Chivilcoy,AR,-34.8957,-60.0167,56.19,48,4,8.12,clear sky
305,Bafra,TR,41.5678,35.9069,51.82,83,40,7.05,scattered clouds
306,Chuy,UY,-33.6971,-53.4616,54.84,96,100,7.96,light rain
307,Norden,DE,53.6,7.2,52.95,89,23,18.19,few clouds
308,Brae,GB,60.3964,-1.353,44.96,80,69,21.21,broken clouds
309,Bayshore Gardens,US,27.4253,-82.5904,86.02,46,0,18.41,clear sky
310,Cherskiy,RU,68.75,161.3,21.78,91,99,6.67,overcast clouds
311,San Cristobal,VE,7.7669,-72.225,74.23,71,64,4.7,broken clouds
312,Cheboksary,RU,56.1322,47.2519,39.79,48,0,0.0,clear sky
313,Tezu,IN,27.9167,96.1667,69.15,96,100,2.15,overcast clouds
314,Lodja,CD,-3.4833,23.4333,74.21,80,77,1.12,broken clouds
315,Sioux Lookout,CA,50.1001,-91.917,33.87,93,100,10.36,overcast clouds
316,Cidreira,BR,-30.1811,-50.2056,71.26,80,100,14.05,overcast clouds
317,Arraial Do Cabo,BR,-22.9661,-42.0278,75.88,80,0,8.25,clear sky
318,Mazabuka,ZM,-15.856,27.748,62.46,97,84,1.63,light rain
319,Morros,BR,-9.4467,-46.3003,81.05,55,98,2.35,overcast clouds
320,Koumra,TD,8.9126,17.5539,81.64,59,71,7.18,broken clouds
321,Hasaki,JP,35.7333,140.8333,64.29,85,100,5.79,overcast clouds
322,Charlottetown,CA,46.2352,-63.1267,46.92,87,75,6.91,broken clouds
323,Lensk,RU,60.7253,114.9278,21.2,95,99,1.79,overcast clouds
324,Tieling,CN,42.2931,123.8414,53.17,28,23,17.67,few clouds
325,Beringovskiy,RU,63.05,179.3167,27.1,89,100,3.13,overcast clouds
326,Rio Gallegos,AR,-51.6226,-69.2181,48.25,57,0,14.97,clear sky
327,Whitehorse,CA,60.7161,-135.0538,46.02,37,75,16.11,broken clouds
328,Nome,US,64.5011,-165.4064,42.87,45,0,8.05,clear sky
329,Iquitos,PE,-3.7481,-73.2472,78.84,89,75,3.44,broken clouds
330,Mocuba,MZ,-16.8392,36.9856,71.29,98,84,3.6,light rain
331,Khon Buri,TH,14.5254,102.2459,80.53,85,29,3.69,scattered clouds
