City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
93,Verkhoyansk,RU,2022-04-19 22:57:35,67.5447,133.385,25.03,88,98,2.55
94,Atuona,PF,2022-04-19 22:57:36,-9.8,-139.0333,79.47,72,32,17.9
95,Fortuna,US,2022-04-19 22:57:36,40.5982,-124.1573,58.86,66,20,8.05
96,Lorengau,PG,2022-04-19 22:57:36,-2.0226,147.2712,84.94,69,68,11.1
97,Praia Da Vitoria,PT,2022-04-19 22:57:37,38.7333,-27.0667,59.76,94,75,9.31
98,Mumbwa,ZM,2022-04-19 22:57:37,-14.9783,27.0619,62.02,96,32,4.21
99,Alice Springs,AU,2022-04-19 22:57:37,-23.7,133.8833,54.95,50,5,0.0
100,Flin Flon,CA,2022-04-19 22:57:38,54.7682,-101.865,40.84,36,75,5.75
101,Denpasar,ID,2022-04-19 22:56:39,-8.65,115.2167,80.26,88,75,1.14
102,Upernavik,GL,2022-04-19 22:57:38,72.7868,-56.1549,-5.17,94,100,5.5
103,Celestun,MX,2022-04-19 22:57:38,20.8667,-90.4,82.0,68,1,20.22
104,Jumla,NP,2022-04-19 22:57:39,29.2747,82.1838,48.92,57,0,4.74
105,Taltal,CL,2022-04-19 22:57:39,-25.4,-70.4833,60.78,83,82,2.95
106,Dogondoutchi,NE,2022-04-19 22:57:39,13.6393,4.0287,86.29,31,55,8.3
107,Istok,XK,2022-04-19 22:57:40,42.7808,20.4875,40.95,73,100,1.25
108,Naryan-Mar,RU,2022-04-19 22:57:40,67.6713,53.087,18.54,88,86,11.95
109,Zalari,RU,2022-04-19 22:57:40,53.5584,102.5065,27.97,86,82,6.33
110,Saldanha,ZA,2022-04-19 22:57:41,-33.0117,17.9442,69.03,38,33,8.14
111,Kiama,AU,2022-04-19 22:55:04,-34.6833,150.8667,67.57,66,15,13.0
112,Chuy,UY,2022-04-19 22:57:41,-33.6971,-53.4616,64.17,87,4,9.17
113,Kununurra,AU,2022-04-19 22:57:41,-15.7667,128.7333,78.78,89,85,3.44
114,Yhu,PY,2022-04-19 22:57:42,-25.05,-55.9167,64.54,84,0,5.17
115,Sitka,US,2022-04-19 22:57:42,57.0531,-135.33,47.44,56,94,1.25
116,Mandera,KE,2022-04-19 22:57:42,3.9366,41.867,84.38,60,94,15.12
117,Alihe,CN,2022-04-19 22:57:43,50.5667,123.7167,50.76,65,100,1.86
118,Bara,NG,2022-04-19 22:57:43,10.3744,10.7288,83.79,48,65,3.51
119,San Cristobal,VE,2022-04-19 22:57:23,7.7669,-72.225,73.58,65,100,0.31
120,Pevek,RU,2022-04-19 22:57:43,69.7008,170.3133,20.07,84,31,3.49
121,Jiwani,PK,2022-04-19 22:57:44,25.05,61.7417,78.39,68,0,8.16
122,Tilichiki,RU,2022-04-19 22:57:44,60.4667,166.1,20.55,86,57,5.21
123,Saint-Francois,FR,2022-04-19 22:57:44,46.4154,3.9054,44.04,87,0,2.3
124,Yellowknife,CA,2022-04-19 22:57:45,62.456,-114.3525,30.72,31,20,9.22
125,College,US,2022-04-19 22:57:45,64.8569,-147.8028,45.23,28,0,14.97
126,Sovetskaya Gavan,RU,2022-04-19 22:57:45,48.9723,140.2878,45.64,76,100,7.05
127,Port Arthur,CN,2022-04-19 22:57:46,38.8,121.2667,59.22,66,0,13.87
128,Leningradskiy,RU,2022-04-19 22:57:46,69.3833,178.4167,24.46,84,64,5.5
129,Manta,EC,2022-04-19 22:57:46,-0.95,-80.7333,82.18,78,40,5.75
130,Port Pirie,AU,2022-04-19 22:57:47,-33.1833,138.0167,53.69,78,36,7.83
131,Lakes Entrance,AU,2022-04-19 22:57:47,-37.8811,147.981,58.15,76,0,10.22
132,Paamiut,GL,2022-04-19 22:57:47,61.994,-49.6678,19.56,67,35,30.58
133,Lagunas,PE,2022-04-19 22:57:48,-5.2269,-75.6753,77.81,82,49,3.09
134,Grindavik,IS,2022-04-19 22:57:48,63.8424,-22.4338,43.27,75,75,18.41
135,Vardo,NO,2022-04-19 22:57:48,70.3705,31.1107,36.01,88,100,11.63
136,Mehamn,NO,2022-04-19 22:58:49,71.0357,27.8492,36.95,96,100,9.17
137,Atkarsk,RU,2022-04-19 22:58:49,51.8718,45.0078,59.02,67,100,7.02
138,Nikolskoye,RU,2022-04-19 22:58:49,59.7035,30.7861,35.49,92,32,5.01
139,Shafranovo,RU,2022-04-19 22:58:50,53.9667,54.7667,51.55,75,99,4.9
140,Ancud,CL,2022-04-19 22:58:50,-41.8697,-73.8203,49.23,83,30,4.61
141,East London,ZA,2022-04-19 22:55:01,-33.0153,27.9116,67.66,84,65,9.86
142,Fairbanks,US,2022-04-19 22:54:15,64.8378,-147.7164,45.25,27,0,14.97
143,Nieuw Amsterdam,SR,2022-04-19 22:58:50,5.8833,-55.0833,80.02,85,40,5.75
144,Moose Factory,CA,2022-04-19 22:58:51,51.2585,-80.6094,30.2,64,20,19.57
145,Sinjar,IQ,2022-04-19 22:58:51,36.3209,41.8754,64.71,40,67,10.6
146,Moerai,PF,2022-04-19 22:58:51,-22.4333,-151.3333,76.66,75,74,10.89
147,Safaga,EG,2022-04-19 22:58:52,26.7292,33.9365,74.41,37,0,21.81
148,Tsagan Aman,RU,2022-04-19 22:58:52,47.5639,46.7218,58.71,45,88,13.78
149,Severo-Kurilsk,RU,2022-04-19 22:58:52,50.6789,156.125,31.68,76,34,13.42
150,Palmer,US,2022-04-19 22:56:01,42.1584,-72.3287,45.25,60,60,1.99
151,Coffs Harbour,AU,2022-04-19 22:58:53,-30.3,153.1333,75.16,64,1,8.05
152,Avarua,CK,2022-04-19 22:57:12,-21.2078,-159.775,80.65,78,75,6.91
153,Pasni,PK,2022-04-19 22:58:53,25.2631,63.471,78.51,86,0,5.17
154,San Patricio,US,2022-04-19 22:58:53,28.017,-97.5169,75.88,76,100,20.85
