City_ID,City,Country,Max Temp,Current Weather,Lat,Lng,Hotel Name
79,Georgetown,MY,80.53,few clouds,5.4112,100.3354,Cititel Penang
80,Avarua,CK,82.45,broken clouds,-21.2078,-159.775,Paradise Inn
82,Maragogipe,BR,75.16,light rain,-12.7778,-38.9194,Hotel Maragogipe
83,Kavaratti,IN,83.98,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
84,Pianco,BR,84.69,overcast clouds,-7.1981,-37.9292,Via hotel
86,Hirara,JP,75.47,broken clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
88,Faanui,PF,79.14,moderate rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
89,Columbia,US,84.56,scattered clouds,34.0007,-81.0348,Hampton Inn Columbia-Downtown Historic District
93,Pundaguitan,PH,78.57,light rain,6.3711,126.1689,Leonardo Family Beach House 1
97,Minab,IR,78.91,broken clouds,27.1467,57.0801,Bam campground
98,Taoudenni,ML,82.42,broken clouds,22.6783,-3.9836,
99,Hithadhoo,MV,84.65,overcast clouds,-0.6,73.0833,Scoop Guest House
100,Auki,SB,81.91,overcast clouds,-8.7676,160.7034,Auki Motel
102,Jacareacanga,BR,75.47,overcast clouds,-6.2222,-57.7528,Casa do Ian😎
105,Vaini,TO,82.56,few clouds,-21.2,-175.2,Keleti Beach Resort
107,Souillac,MU,75.87,broken clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
115,Banda Aceh,ID,79.92,scattered clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
118,Hambantota,LK,79.93,overcast clouds,6.1241,81.1185,Bungalow 63
120,Puerto Escondido,MX,85.03,broken clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
132,San Patricio,US,85.17,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
138,Barra Do Garcas,BR,76.15,scattered clouds,-15.89,-52.2567,Pousada Tropical
140,Beihai,CN,75.11,few clouds,21.4833,109.1,21 Degree Hostel
142,Celestun,MX,83.59,clear sky,20.8667,-90.4,Posada Lilia
144,Puri,IN,81.12,clear sky,19.8,85.85,OYO 1577 Hotel Shree Hari Grand
153,Mangrol,IN,81.28,clear sky,21.1167,70.1167,Hotel The Royal Honours
156,Victoria,HK,78.19,few clouds,22.2855,114.1577,Mini Hotel Central
162,Mahasamund,IN,81.86,scattered clouds,21.1,82.1,mauhari bhantha mahasamund
166,Kingston,JM,81.55,thunderstorm with light rain,17.997,-76.7936,The Jamaica Pegasus Hotel
170,Alofi,NU,79.45,clear sky,-19.0595,-169.9187,Taloa Heights
171,Lafia,NG,87.87,overcast clouds,8.4833,8.5167,Low Cost Housing Estate
172,Kavieng,PG,83.41,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
173,Port-Gentil,GA,80.56,few clouds,-0.7193,8.7815,Fengshui Residence
177,Bilma,NE,89.83,clear sky,18.6853,12.9164,Expeditions Ténére voyages
183,Grand Gaube,MU,76.37,broken clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
190,Poum,NC,76.48,broken clouds,-20.2333,164.0167,
193,Port Hedland,AU,75.25,overcast clouds,-20.3167,118.5667,The Esplanade Hotel
195,Pointe Michel,DM,77.29,broken clouds,15.25,-61.3833,Castle Comfort Lodge Dive Dominica
200,Isangel,VU,79.95,overcast clouds,-19.55,169.2667,Tanna Lodge
203,Lorengau,PG,83.77,broken clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
204,Gizo,SB,81.21,overcast clouds,-8.103,156.8419,Imagination Island
206,Sao Joao Da Barra,BR,76.44,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
210,Qandala,SO,83.75,few clouds,11.472,49.8728,
215,Riyadh,SA,75.34,broken clouds,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
216,Avera,US,81.55,clear sky,33.194,-82.5271,
229,San Andres,CO,86.02,scattered clouds,12.5847,-81.7006,Hotel Arena Blanca
230,Doha,QA,80.58,clear sky,25.2867,51.5333,Movenpick Hotel Doha
231,Gao,ML,88.43,overcast clouds,16.6362,1.637,
232,Isla Mujeres,MX,82.45,clear sky,21.2311,-86.731,Hotel La Joya Isla Mujeres
233,Kokoda,PG,77.41,overcast clouds,-8.8785,147.7407,Daito Guest House
235,Nabinagar,BD,75.61,clear sky,23.8917,90.9733,Padma'r Sworone
238,Aitape,PG,78.89,overcast clouds,-3.1374,142.3475,
244,Awbari,LY,75.79,clear sky,26.5921,12.7805,فندق أوباري
246,Saint-Georges,GD,80.28,few clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
247,Saint-Joseph,RE,75.58,light rain,-21.3667,55.6167,"""Plantation Bed and Breakfast"
248,Pemangkat,ID,77.97,scattered clouds,1.1667,108.9667,Ramah Kost KITA
252,Meulaboh,ID,77.32,broken clouds,4.1363,96.1285,Kost Pria
254,Port Moresby,PG,78.22,scattered clouds,-9.4431,147.1797,Lamana Hotel (Port Moresby)
255,Colorado Springs,US,82.08,squalls,38.8339,-104.8214,"The Antlers, A Wyndham Hotel"
260,Iracoubo,GF,75.27,overcast clouds,5.4802,-53.2011,Le Gîte d’Iracoubo
262,Sao Goncalo,BR,76.82,clear sky,-22.8156,-43.0411,Bem Diva Espaço Mulher
269,Kralendijk,BQ,80.58,few clouds,12.15,-68.2667,Divi Flamingo Beach Resort & Casino
274,Olutanga,PH,81.93,overcast clouds,7.3106,122.8464,Morales Lodge
276,Bandarbeyla,SO,81.95,scattered clouds,9.4942,50.8122,JABIR HOTEL
278,Bengkulu,ID,76.84,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
282,Kirakira,SB,83.16,broken clouds,-10.4544,161.9205,SanBiz Lodge
284,Leon Valley,US,89.38,scattered clouds,29.4952,-98.6186,Days Inn by Wyndham San Antonio Northwest/Seaworld
294,Tosham,IN,81.64,clear sky,28.8833,75.9167,Amrit home's
298,Oussouye,SN,78.98,scattered clouds,12.485,-16.5469,Auberge du Routard
303,Wamba,NG,82.71,scattered clouds,8.9333,8.6,Roma Zee Guest House Annex
309,Bayshore Gardens,US,86.02,clear sky,27.4253,-82.5904,Ramada by Wyndham Sarasota Waterfront
317,Arraial Do Cabo,BR,75.88,clear sky,-22.9661,-42.0278,Pousada Porto Praia
319,Morros,BR,81.05,overcast clouds,-9.4467,-46.3003,
320,Koumra,TD,81.64,broken clouds,8.9126,17.5539,Yamtoide house koumra
329,Iquitos,PE,78.84,broken clouds,-3.7481,-73.2472,Cortez Malaga Techy Caroly
331,Khon Buri,TH,80.53,scattered clouds,14.5254,102.2459,Bangchongjai Cottage
333,Kahului,US,82.42,broken clouds,20.8947,-156.47,Maui Seaside Hotel
334,Arani,IN,79.34,broken clouds,12.6667,79.2833,KPK LODGE
340,Awjilah,LY,79.97,overcast clouds,29.1081,21.2869,المنزل
345,Eatonton,US,82.56,clear sky,33.3268,-83.3885,Western Motel of Eatonton
347,Mapiripan,CO,76.46,overcast clouds,2.8892,-72.1256,Monserrate
357,Kloulklubed,PW,75.7,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
361,Puerto Narino,CO,77.11,broken clouds,-3.7703,-70.3831,Eware Refugio Amazonico
367,San-Pedro,CI,79.16,overcast clouds,4.7485,-6.6363,Hotel Maria
371,Dhidhdhoo,MV,83.84,overcast clouds,6.8833,73.1,Dhidhoo beach
372,Sadao,TH,78.62,broken clouds,6.6388,100.4234,Banana Resort Sadao
375,Wewak,PG,76.05,overcast clouds,-3.5534,143.6268,In Wewak Boutique Hotel
376,Tevaitoa,PF,78.96,moderate rain,-16.7833,-151.5,Hôtel Raiatea Lodge
378,Bubaque,GW,77.22,overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
379,Nacala,MZ,76.84,moderate rain,-14.5428,40.6728,Nacala Plaza Business Design Hotel
388,San Matias,BO,81.63,overcast clouds,-16.3667,-58.4,"HOTEL ""SAN JOSE"""
390,Bambous Virieux,MU,76.21,scattered clouds,-20.3428,57.7575,Casa Tia Villa
391,Lazaro Cardenas,MX,84.29,clear sky,17.9583,-102.2,HOTEL QUINTA ANTIGUA
398,Harper,LR,78.73,scattered clouds,4.375,-7.7169,Screensaver
401,Namatanai,PG,82.53,overcast clouds,-3.6667,152.4333,Seagulls Inn Namatani
411,Sechura,PE,77.95,scattered clouds,-5.5569,-80.8222,Hospedaje Costa Bella
414,Chauk,MM,82.15,clear sky,20.8833,94.8167,Bo Khin Guest House
417,Bowen,AU,75.96,overcast clouds,-20.0167,148.2333,Castle Motor Lodge Motel
420,Daru,PG,78.44,moderate rain,-9.0763,143.2092,Daru Lodge
426,Mamburao,PH,76.87,few clouds,13.25,120.6667,UPPER(tii)
428,Neiafu,TO,84.88,few clouds,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
431,Jalu,LY,79.43,broken clouds,29.0331,21.5482,صاحبة الفخامة
440,Morgan City,US,82.0,clear sky,29.6994,-91.2068,Hampton Inn & Suites Morgan City
447,Corn Island,NI,80.98,overcast clouds,12.1694,-83.0418,Big Fish Guest House
454,Hobyo,SO,83.03,broken clouds,5.3505,48.5268,Iftin hotel hobyo
455,Nizwa,OM,80.55,overcast clouds,22.9333,57.5333,Orient Apartments
458,Kudahuvadhoo,MV,82.96,moderate rain,2.6708,72.8944,Niyama Private Islands Maldives
465,Vilhena,BR,79.02,few clouds,-12.7406,-60.1458,Hotel Mirage
467,Sabang,ID,83.37,overcast clouds,5.8933,95.3214,Hotel Citra
476,Hamilton,US,78.82,scattered clouds,39.1834,-84.5333,Six Acres Bed & Breakfast
477,Pasni,PK,78.55,clear sky,25.2631,63.471,Kashmiri Hotal
478,Dzilam Gonzalez,MX,87.53,few clouds,21.2833,-88.9333,posadas
480,Isabela,PH,77.05,overcast clouds,6.7085,121.9711,Isawad Resort
483,Veraval,IN,82.15,clear sky,20.9,70.3667,Lords Inn Somnath
485,Saint-Pierre,RE,76.68,clear sky,-21.3393,55.4781,Lindsey Hôtel
487,Dingle,PH,76.3,scattered clouds,10.9995,122.6711,SEGAYA PROPERTY
488,Adrar,MR,76.82,broken clouds,20.5022,-10.0711,
489,Manggar,ID,80.91,overcast clouds,-2.8833,108.2667,Guest Hotel
491,Boffa,GN,78.51,overcast clouds,10.1667,-14.0333,Hôtel Niara Belly
492,Sangre Grande,TT,82.06,scattered clouds,10.5835,-61.1177,Lotus drive
493,Sola,VU,81.45,overcast clouds,-13.8833,167.55,Leumerus Bungalows
495,Najran,SA,75.85,few clouds,17.4924,44.1277,محمد هادي ال فطيح
498,Denpasar,ID,80.26,few clouds,-8.65,115.2167,OYO 3156 Hotel Warta 2
501,Labuan,MY,77.36,few clouds,5.2767,115.2417,Tiara Labuan Hotel
507,Sabha,LY,76.86,clear sky,27.0377,14.4283,Foundation Taaj Asala for Historical Research and Archeology
514,South Venice,US,84.24,clear sky,27.0531,-82.4243,"Island Sun Inn & Suites - Venice, Florida Historic Downtown & Beach Getaway"
518,Bentiu,SS,86.13,overcast clouds,9.2333,29.8333,Mandela hôtel
519,Okolona,US,82.42,broken clouds,38.1412,-85.6877,Days Inn by Wyndham Louisville Airport Fair and Expo Center
520,Portobelo,PA,84.11,broken clouds,9.55,-79.65,Scuba Portobelo
521,Carinhanha,BR,82.72,broken clouds,-14.3047,-43.765,Hotel União
524,Voh,NC,76.84,broken clouds,-20.9667,164.7,Le gîte du Koniambo
527,Certegui,CO,84.18,overcast clouds,5.3707,-76.6044,Juosma yesisd
531,Biak,ID,77.38,overcast clouds,-0.9131,122.8766,Penginapan Kim
535,Porbandar,IN,80.78,clear sky,21.6422,69.6093,Lords Inn Porbandar
536,Itoman,JP,75.97,broken clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
542,Dumas,US,86.14,haze,35.8656,-101.9732,"Holiday Inn Express & Suites Dumas, an IHG Hotel"
546,Shahpura,IN,79.23,clear sky,27.3833,75.9667,Shahpura Haveli
548,Tehuacan,MX,76.37,scattered clouds,18.45,-97.3833,Hotel & Spa Casa Cantarranas Tehuacán
549,Naliya,IN,77.65,clear sky,23.2667,68.8333,jadeja jayendrasinh
550,Makakilo City,US,82.72,broken clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
552,Wanning,CN,76.35,broken clouds,18.8003,110.3967,Paradise Hotel
553,Layou,VC,78.19,scattered clouds,13.2,-61.2667,Compton's Bed-&-Breakfast & Anchorage
555,Banjar,ID,77.09,overcast clouds,-8.19,114.9675,The Hamsa Resort
556,Mamallapuram,IN,86.05,broken clouds,12.6264,80.1722,Radisson Blu Resort Temple Bay Mamallapuram
559,Raga,SS,76.28,overcast clouds,8.4596,25.678,
562,Cap Malheureux,MU,76.46,broken clouds,-19.9842,57.6142,Pereybere Hotel & Spa
563,Jaru,BR,76.14,broken clouds,-10.4389,-62.4664,Hotel Paraná
571,Inirida,CO,78.55,broken clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
575,Teluk Nibung,ID,76.28,very heavy rain,3.001,99.8164,Hotel Assyifa
580,Canutama,BR,78.01,overcast clouds,-6.5339,-64.3831,Hotel Jhennifer
582,Benguela,AO,75.51,broken clouds,-12.5763,13.4055,Hotel Praia Morena
593,Altagracia De Orituco,VE,79.47,overcast clouds,9.8601,-66.3814,Posada Quinta Mi Refugio
596,Nago,JP,76.05,overcast clouds,26.5881,127.9761,Hotel Yugaf Inn Okinawa
607,Sibolga,ID,77.81,moderate rain,1.7427,98.7792,Hotel Syariah CN Darussalam
613,Agua Buena,PA,84.54,overcast clouds,7.8167,-80.4,
614,Salalah,OM,82.49,few clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
615,Omboue,GA,78.37,overcast clouds,-1.5746,9.2618,Hotel Olako
616,Cruz Grande,MX,87.76,clear sky,16.7333,-99.1333,Hotel Camila
617,Vila Velha,BR,82.35,clear sky,-20.3297,-40.2925,Hotel Vitória Palace
620,Gorahun,SL,76.95,light rain,7.4661,-11.2375,
621,Santa Marta,CO,84.25,scattered clouds,11.2408,-74.199,Hotel La Ballena Azul
623,Ambagarh Chauki,IN,81.43,few clouds,20.7833,80.7167,गाँधी चौक शांति भवन सोनसाय टोला
624,Olinda,BR,83.93,clear sky,-8.0089,-34.8553,Flat Quatro Rodas Olinda
625,Valentin Gomez Farias,MX,86.61,overcast clouds,28.2167,-106.5833,
627,Mehndawal,IN,81.23,clear sky,26.9753,83.1117,Sarvendra rammurat vishwakarma sadan
628,Mazagao,BR,82.45,moderate rain,-0.115,-51.2894,Recanto dos Ferreiras
631,U Thong,TH,80.37,clear sky,14.3751,99.8923,คงทองทิพย์รีสอร์ท
637,Eyl,SO,81.79,broken clouds,7.9803,49.8164,Amiin Hotel
638,Mogadishu,SO,82.69,scattered clouds,2.0371,45.3438,Hotel Juba
639,Mersing,MY,76.91,few clouds,2.4312,103.8405,Timotel Hotel
645,Dalbandin,PK,78.33,few clouds,28.8947,64.4101,Sanjrani House
650,Port Blair,IN,80.64,mist,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
653,Barahona,DO,80.42,broken clouds,18.2085,-71.1008,Hotel Caribe
660,San Lorenzo,PY,79.74,broken clouds,-25.3333,-57.5333,Canarias Hotel
666,Labuhan,ID,78.19,broken clouds,-6.8844,112.2051,DoubleFAG
669,Tautira,PF,79.21,moderate rain,-17.7333,-149.15,Pension Oaoa
670,Cayenne,GF,77.09,overcast clouds,4.9333,-52.3333,Hôtel Le Dronmi
675,Yendi,GH,87.89,scattered clouds,9.4427,-0.0099,Eyarro Lodge
678,Arteaga,MX,85.48,clear sky,18.4667,-102.4167,
681,Padang,ID,78.31,overcast clouds,-0.9492,100.3543,Mercure Padang
683,Touros,BR,79.97,heavy intensity rain,-5.1989,-35.4608,INN NEW HORIZON
688,Abu Dhabi,AE,78.96,clear sky,24.4667,54.3667,Beach Rotana
689,Baracoa,CU,76.98,scattered clouds,20.3467,-74.4958,Hostal Rio Miel
692,Maceio,BR,80.04,broken clouds,-9.6658,-35.7353,Hotel Ponta Verde Maceió
700,Buchanan,LR,79.47,overcast clouds,5.8808,-10.0467,Kamaneahn Hotel Inc
702,Hajiganj,BD,77.92,clear sky,23.2511,90.8592,Hotel Kohinoor
707,Vieux-Habitants,GP,78.37,overcast clouds,16.0589,-61.7659,Gîtes Dardanelle
708,Russell,US,81.97,clear sky,32.3502,-85.1999,Macs
